# epoch00,   epoch01,   epoch02,   epoch03,   epoch04,   epoch05,   epoch06,   epoch07,   epoch08,   epoch09,   epoch10,   epoch11,   epoch12,   epoch13,   epoch14,   epoch15,   epoch16,   epoch17,   epoch18,   epoch19,   epoch20,   epoch21,   epoch22,   epoch23,   epoch24,   epoch25,   epoch26,   epoch27,   epoch28,   epoch29,   epoch30,   epoch31,   epoch32,   epoch33,   epoch34,   epoch35,   epoch36,   epoch37,   epoch38,   epoch39,   epoch40,   epoch41,   epoch42,   epoch43,   epoch44,   epoch45,   epoch46,   epoch47,   epoch48,   epoch49
     0,   629,   716,  3841,  2926,   743,   960,  1161,  3989,   281,   493,  1860,  2731,    27,  1590,   698,  4089,   653,  4001,   158,  3413,  2392,  1144,  3870,  2171,  1209,  2183,  4125,  1057,  1360,  4081,  1406,  1500,  3955,   670,  1939,  3404,  3769,  1090,  3681,  1299,   588,  1400,  2493,  2859,  3480,  2292,  3984,   132,  2135
     1,   730,  2198,  1654,   357,   483,  1613,   422,   380,  2796,  2963,  3115,  2742,  3009,   822,  3365,  2513,  4196,  1047,   472,   663,  3213,  2022,    69,  1182,  2837,    68,  1279,  2871,  2814,  1069,  3725,   679,  1847,  4258,  4037,  3577,  4103,  1416,  4233,   378,  2004,  1909,  3210,  1633,  1021,  3219,  3675,   565,    92
     2,  3132,  3658,  2889,  4103,  2262,  3535,  2823,  3907,  1645,  1181,  3871,  1234,  1968,  1408,  3934,   476,   595,   161,  3088,   472,  1545,  1864,  3521,  2285,  2566,    88,  3345,   834,   922,  3210,  1798,  2542,  2222,   874,  3971,  3011,   886,  1899,  1303,  3918,  2465,  2550,  1276,  3589,  3063,  2944,  1727,   321,  4127
     3,  2191,  3795,   706,  4170,  2323,  3369,  2461,  1099,  3500,  1860,  1049,  2068,  2584,  3113,  1551,  4013,  2965,  1674,  2226,   620,  3685,  2469,  2492,  3274,  1432,  4068,  1906,  1576,  1030,  2903,  1007,   903,  2330,  1326,  4236,   722,  1647,   124,  3275,    29,  2779,   557,  2560,  4189,  3713,  4135,  2512,  1015,   319
     4,  3521,    81,  3907,  1088,  3881,  3379,   400,  1252,  4248,   417,  1060,   543,   639,   819,  4297,  2368,  1935,   142,  4242,  3781,  1772,  1661,  4184,  2810,  1780,  3642,  1463,  3767,  2149,   473,  3731,  2871,   191,  3320,  1609,  1356,  4298,  3935,  1504,  4210,   168,  2360,  2447,   859,  1880,  3218,  3457,  3118,  4287
     5,  2596,  4253,  3713,  1535,  2634,  1631,  3242,  1300,  2879,  2897,  1732,   832,  1944,   409,   395,  3401,  1302,  3952,  3725,   230,  3266,  1393,   303,  4221,  3959,   728,  1948,   520,  1368,  4108,   395,  2258,   933,  1600,  3498,  1244,   502,  3089,  1099,  1640,  3102,  2207,  3360,  3671,  3234,  4148,   332,  4234,   873
     6,  3518,  3311,  1927,  1768,  3856,  1530,   266,  4099,    81,   832,  3647,  2677,  3483,  3433,   888,  2351,   336,  2901,  2732,  2561,   373,   254,  4205,  2398,  1415,  3129,  2890,  1265,  1696,  3280,  1684,   122,   429,  1971,  2958,  2885,  2814,   590,  2601,  2727,  3816,  3542,  3883,  3977,  3748,   765,  3426,  2373,  1846
     7,   729,  1107,  2724,  3109,  3591,  2186,  2379,  1306,  4047,  2017,   634,  2183,  3846,  3568,   240,   652,  1311,  1983,   553,  3676,  4029,  3365,    70,  3058,   345,  1764,  3658,  2590,  1867,  3303,  3152,   526,  2967,  4235,  3168,  2331,  2577,   566,   730,  3621,  1855,    73,  3557,   404,  1896,  1855,   567,  2158,   762
     8,  1977,  1199,   538,  1423,   848,  2512,    99,  2145,   498,  2031,  2858,  4298,  1987,   650,   593,   534,  1536,  2665,  1747,  3880,  3172,  3313,  1213,  2055,  2798,  1765,  2847,   526,  1217,   899,  3939,  3934,  2889,  2733,  1152,  2743,  1027,  2459,  1629,  4099,  2717,  3304,   765,   495,  3515,  1830,  2577,  1662,  1838
     9,  3397,   809,   120,   958,  2677,  2474,  3936,   354,  1438,  2623,  1376,   612,  2975,  1346,   984,  2146,  2588,  3138,  2917,  3020,  1414,  1974,  2150,  3120,  1073,  3548,   756,    44,  2711,  1106,  1557,  3977,  1038,  1169,   257,  1410,    48,  4115,   727,  3143,  2549,  1510,  1336,  2190,  2782,  2713,   705,  3709,  1785
    10,  2309,   142,  3443,  2601,  2183,  2726,  1803,    34,  1580,  1883,   878,  2632,  1206,  3763,  4174,  1958,  1723,  2037,  2959,  3507,  3258,  4283,  2141,  3788,  3825,   158,  3623,   404,  3413,  3637,  2268,  1729,  2905,  2125,   883,  2745,   758,  2728,  1460,  1871,  1000,  3619,  3831,   935,   465,  2380,  2475,   674,  4191
    11,   476,   773,  1273,  2659,  2155,  2058,  2905,  2957,  1861,  1468,  2562,  2618,  1744,  1512,  4123,  4244,  2456,   765,  3211,  2833,  1401,  2462,   647,  3940,  1749,   142,  2269,  3565,  1841,  2358,  2342,  2879,  2711,  4225,  1122,  4019,   709,  1056,  4160,  2940,   523,  2250,  1567,  1455,  3416,   328,   543,  4062,  1299
    12,  2046,   149,  1117,  1870,  2101,  1898,  2844,  1653,  4121,  1935,  1589,   654,   178,  1160,  1270,  1705,  1772,  3750,   904,  3389,  3964,   298,   214,    52,  2904,  3695,  1051,  3016,  3060,  3687,   560,  3418,  2236,  3352,  4187,  2511,  3866,  3775,  3840,  1601,   663,  2457,   878,  1492,  3560,   671,  3580,   749,  3305
    13,  2580,  1128,  2922,   899,  1763,   778,  3118,  3580,  1105,  1937,   227,   395,  3998,  1848,  2506,   518,  3913,   325,  3028,  3051,  1516,   578,   295,  3891,   206,  3296,  2292,  2006,  3618,  1877,  1605,  3443,  3911,   479,  3106,  2443,  4152,  2660,  3281,   937,   474,  1405,   256,   905,  2295,  2219,  3050,  3769,  3443
    14,  1139,  3181,  2392,   838,   382,  3136,  3631,  3369,   567,  3666,  1521,  1266,  3596,  2808,  1140,  3535,  3850,  2439,  3008,  2360,   128,  2000,   587,  1852,  2452,  2584,  1736,  1464,  2673,  3552,   849,  2877,  2717,  2333,  3534,  1046,  3404,  1869,  1922,  3841,   277,  2241,  1719,  4148,  2258,   626,  2421,  3178,  3154
    15,  1121,  3878,  3741,  1618,  1758,  3347,  3013,   222,  4224,   873,  2870,  4207,   597,  1634,  3800,  1532,  2747,  3899,  1596,  2132,   871,  2515,  2075,  1627,   677,  2845,  3237,   551,  2164,  2873,   935,  1461,  1813,  3478,  3171,  3198,  3574,  1736,  3331,  2003,  3907,  2245,  1224,  4292,  3771,  1512,  2537,   152,  3782
    16,   716,  2949,  2997,  3011,  1467,  1877,  1155,  4166,  4076,   885,   945,  3308,  3469,  2146,  3048,   245,  2316,  2095,   755,  4163,  1795,  3264,  3690,  1227,  2056,  1206,  1363,  2061,   837,  3845,  3425,  1595,   367,  1156,  1052,  1859,  3705,  2833,  1569,  2811,  4160,  1159,  2604,   630,  3258,  1055,  1841,  3843,  2063
    17,  2912,  1101,  1619,  3145,  2260,   412,  1832,  3040,   845,  2094,   438,   221,   385,   817,  3695,   201,  1714,  4269,   574,  1472,  1069,  2113,  3928,   445,  2674,  2919,  2776,  1548,  3404,  3893,  2433,   914,  2904,  1120,   454,  1906,    56,  2006,  2497,  2483,  3784,   917,  2234,  2635,  4071,  3884,  2877,  4251,  1032
    18,  1042,  1621,  2195,  1896,  3945,  2405,  1983,  2430,   854,  1095,  1530,  1140,  1864,  4043,  3041,  1797,  2149,  3321,  4264,  3596,  2595,  1387,  2805,  2301,  2551,   609,   764,  4202,   679,  4077,   584,  3162,  3433,   140,  1109,   734,  1649,   888,  3028,  1969,  2690,   286,   169,  3546,  2776,   510,  1073,  3911,  1866
    19,  4207,  2502,  1220,  1802,  1833,  2970,  3081,  3036,  1730,  1054,  2756,  1890,  4130,  3340,  1694,  1293,  2755,  1041,   667,   819,  2397,  2302,  2618,  1644,  2483,  1773,  2639,  3935,   773,  2421,  2730,   712,  3487,  3358,   202,    21,  2207,  2669,  1194,  1107,  4113,   317,  1140,  2230,  2630,  2154,  2832,  3229,   196
    20,  3877,  3461,  2822,   934,   884,  1180,  1933,  1251,  2572,  1753,  3579,  3980,  3610,  2605,  3544,  3785,  1103,  1609,  1125,  3970,  4235,  1108,   309,  1402,  1148,  2443,   869,  3029,  1033,  3867,   587,  3766,   962,  3513,  3568,  2214,    88,  1815,   614,  3905,   462,   602,  1042,   572,  2132,  1081,  1988,  4135,  2540
    21,   231,   965,   163,  4004,  1051,  3364,  1515,  3098,   122,  3941,  2956,  1377,  1954,  2077,  2326,  1075,   892,   287,  1896,   114,  1850,  3738,   152,   420,  3056,   961,  1309,   543,   371,  3462,  2915,  2881,   958,  2568,  2039,  2415,  4174,  1786,  1658,   179,  1478,  3988,  2005,  3617,   818,  2128,  2967,   212,  2883
    22,   726,   741,  2678,  1562,  2372,  3192,  2812,  2511,  2770,  3942,  3724,  2435,  1988,  2617,  2585,  2424,  1740,  2490,  2645,  1798,  2568,  2367,  2599,   992,  2644,  2113,  2069,  4158,  2295,  4059,  3768,  3078,  1122,  3723,  2197,  3998,  3340,   763,  2924,  3260,  2522,  2201,  3741,   196,  1804,  1466,  1845,  2564,   339
    23,   584,  2616,   809,  3381,  3101,  1245,  1241,  3677,   597,  3407,   419,   276,   202,   909,   829,  1879,  1057,  2335,  3073,  1400,  3805,  1897,  1105,  1154,  2339,   147,  1812,  1665,  3426,   570,  4201,  2351,  3295,   671,  2410,  4233,  2267,  1697,  3255,  2734,  2447,  3410,   818,  2996,  1612,  2212,   433,  1687,  3502
